DoctorID;TimeSlots1;TimeSlots2;TimeSlots3;TimeSlots4;Date;
drMiller;09:00-10:00;12:00-14:30;15:30-17:30;17:00-19:00;2024-06-01;
drJohnson;10:00-12:00;13:00-15:00;15:00-17:00;17:00-19:00;2024-06-01;
drLee;10:00-12:00;13:00-15:00;15:00-17:00;17:00-19:00;2024-06-02;
drThompson;10:00-12:00;13:00-15:00;15:00-17:00;17:00-19:00;2024-06-02;
drMiller;09:00-11:30;12:00-14:30;15:30-17:30;17:00-19:00;2024-06-03;
drJohnson;10:00-12:00;13:00-15:00;15:00-17:00;17:00-19:00;2024-06-04;
drLee;10:00-12:00;13:00-15:00;15:00-17:00;17:00-19:00;2024-06-03;
drLee;10:00-12:00;13:00-15:00;15:00-17:00;17:00-19:00;2024-06-04;
drThompson;10:00-12:00;13:00-15:00;15:00-17:00;17:00-19:00;2024-06-04;
drMiller;09:00-10:00;12:00-14:30;15:30-17:30;17:00-19:00;2024-06-04;
drMiller;09:00-10:00;12:00-14:30;15:30-17:30;17:00-19:00;2024-06-05;
drMiller;08:00-10:00;11:00-13:00;14:00-16:00;17:00-19:00;2024-06-06;
